Dec 08 11:15:41.364 INFO: manager: 1.2.2
Dec 08 11:36:34.248 INFO: ManagerServant: Master manager not found
Dec 08 11:36:44.280 INFO: ManagerServant: Master manager not found
Dec 08 11:36:54.316 INFO: ManagerServant: Master manager not found
Dec 08 11:37:04.347 INFO: ManagerServant: Master manager not found
Dec 08 11:37:14.372 INFO: ManagerServant: Master manager not found
Dec 08 11:37:24.397 INFO: ManagerServant: Master manager not found
Dec 08 11:37:34.425 INFO: ManagerServant: Master manager not found
Dec 08 11:37:44.456 INFO: ManagerServant: Master manager not found
Dec 08 11:37:54.490 INFO: ManagerServant: Master manager not found
Dec 08 11:38:04.519 INFO: ManagerServant: Master manager not found
Dec 08 11:38:14.553 INFO: ManagerServant: Master manager not found
Dec 08 11:38:24.586 INFO: ManagerServant: Master manager not found
Dec 08 11:38:34.606 INFO: ManagerServant: Master manager not found
Dec 08 11:38:44.633 INFO: ManagerServant: Master manager not found
Dec 08 11:38:54.661 INFO: ManagerServant: Master manager not found
Dec 08 11:39:04.688 INFO: ManagerServant: Master manager not found
Dec 08 11:39:14.709 INFO: ManagerServant: Master manager not found
Dec 08 11:39:24.736 INFO: ManagerServant: Master manager not found
Dec 08 11:39:34.766 INFO: ManagerServant: Master manager not found
Dec 08 11:39:44.798 INFO: ManagerServant: Master manager not found
Dec 08 11:39:54.831 INFO: ManagerServant: Master manager not found
Dec 08 11:40:04.862 INFO: ManagerServant: Master manager not found
Dec 08 11:40:14.888 INFO: ManagerServant: Master manager not found
Dec 08 11:40:24.927 INFO: ManagerServant: Master manager not found
Dec 08 11:40:34.960 INFO: ManagerServant: Master manager not found
Dec 08 11:40:44.985 INFO: ManagerServant: Master manager not found
Dec 08 11:40:55.017 INFO: ManagerServant: Master manager not found
Dec 08 11:41:05.042 INFO: ManagerServant: Master manager not found
Dec 08 11:41:15.069 INFO: ManagerServant: Master manager not found
Dec 08 11:41:25.095 INFO: ManagerServant: Master manager not found
Dec 08 11:41:35.118 INFO: ManagerServant: Master manager not found
Dec 08 11:41:45.142 INFO: ManagerServant: Master manager not found
Dec 08 11:41:55.165 INFO: ManagerServant: Master manager not found
Dec 08 11:42:05.187 INFO: ManagerServant: Master manager not found
Dec 08 11:42:15.210 INFO: ManagerServant: Master manager not found
Dec 08 11:42:25.234 INFO: ManagerServant: Master manager not found
Dec 08 11:42:35.258 INFO: ManagerServant: Master manager not found
Dec 08 11:42:45.279 INFO: ManagerServant: Master manager not found
Dec 08 11:42:55.303 INFO: ManagerServant: Master manager not found
Dec 08 11:43:05.327 INFO: ManagerServant: Master manager not found
Dec 08 11:43:15.353 INFO: ManagerServant: Master manager not found
Dec 08 11:43:25.381 INFO: ManagerServant: Master manager not found
Dec 08 11:43:35.407 INFO: ManagerServant: Master manager not found
Dec 08 11:43:45.432 INFO: ManagerServant: Master manager not found
Dec 08 11:43:55.460 INFO: ManagerServant: Master manager not found
Dec 08 11:44:05.486 INFO: ManagerServant: Master manager not found
Dec 08 11:44:15.510 INFO: ManagerServant: Master manager not found
Dec 08 11:44:25.537 INFO: ManagerServant: Master manager not found
Dec 08 11:44:35.563 INFO: ManagerServant: Master manager not found
Dec 08 11:44:45.587 INFO: ManagerServant: Master manager not found
Dec 08 11:44:55.614 INFO: ManagerServant: Master manager not found
Dec 08 11:45:05.638 INFO: ManagerServant: Master manager not found
